id,region,dowt,trp_expert,sp_sale,uio,cpc,total_w
volga26,Volga,Certified,0.57,"12,294,196"," 2,092 "," 12,762 "," 5,117,704 "
volga27,Volga,Certified,0.67,"19,614,775"," 2,757 "," 10,852 "," 3,385,855 "
volga28,Volga,Certified,1,"15,466,426"," 2,668 "," 10,869 "," 3,858,611 "
volga29,Volga,Certified,1,"29,089,582"," 3,880 "," 17,431 "," 11,609,172 "
volga30,Volga,Certified,0.95,"28,460,239"," 4,703 "," 11,877 "," 14,418,250 "
volga31,Volga,Certified,1,"54,245,732"," 4,363 "," 15,793 "," 20,182,883 "
volga32,Volga,Certified,0.73,"13,262,454"," 1,581 "," 13,346 "," 5,725,532 "
volga33,Volga,Certified,0.88,"37,360,441"," 2,755 "," 27,182 "," 19,707,082 "
volga34,Volga,Certified,1,"13,961,645"," 2,243 "," 10,080 "," 2,953,339 "
volga35,Volga,Certified,1,"12,895,245"," 2,328 "," 13,833 "," 6,044,841 "
volga36,Volga,Certified,0.67,"16,445,339"," 2,364 "," 19,168 "," 10,580,545 "
volga37,Volga,Certified,1,"44,041,512"," 4,174 "," 15,352 "," 16,027,576 "
volga38,Volga,Certified,0.67,"27,116,834"," 3,980 "," 12,713 "," 9,420,321 "
volga39,Volga,Certified,0.25,"21,790,246"," 4,132 "," 13,446 "," 7,893,036 "
volga40,Volga,Certified,0.2,"18,277,057"," 4,454 "," 17,749 "," 13,436,041 "
volga41,Volga,Certified,0.88,"11,332,247"," 3,774 "," 14,122 "," 8,473,483 "
volga42,Volga,Certified,0.69,"30,957,010"," 4,006 "," 14,528 "," 12,595,577 "
volga43,Volga,Certified,1,"10,233,501"," 1,578 "," 15,757 "," 6,807,082 "
ural1,Ural,Certified,1,"38,539,496"," 2,947 "," 18,092 "," 15,125,179 "
ural2,Ural,Not Certified,1,"59,458,507"," 6,911 "," 17,623 "," 15,226,039 "
ural3,Ural,Certified,1,"19,664,853"," 2,155 "," 19,618 "," 5,257,743 "
ural4,Ural,Certified,0.2,"20,850,048"," 2,915 "," 13,209 "," 3,579,717 "
ural5,Ural,Certified,0.92,"31,579,504"," 3,441 "," 24,167 "," 10,633,634 "
ural6,Ural,Certified,1,"17,292,433"," 2,597 "," 8,925 "," 5,417,610 "
ural7,Ural,Certified,1,"35,188,042"," 8,661 "," 16,409 "," 24,252,384 "
ural8,Ural,Certified,0,"866,742"," 1,679 "," 17,894 "," 501,026 "
ural9,Ural,Certified,1,"8,523,261"," 1,244 "," 17,107 "," 2,023,971 "
ural10,Ural,Certified,1,"31,218,590"," 3,153 "," 11,502 "," 12,134,532 "
ural11,Ural,Certified,0.75,"13,928,383"," 1,438 "," 17,231 "," 3,032,600 "
ural12,Ural,Certified,1,"6,499,646", 556 ," 21,152 "," 3,426,600 "
ural13,Ural,Certified,1,"8,254,749"," 1,996 "," 16,317 "," 5,107,256 "
ural14,Ural,Certified,1,"32,298,582"," 4,773 "," 16,925 "," 10,476,873 "
ural15,Ural,Certified,1,"14,561,296"," 2,018 "," 11,305 "," 2,215,767 "
ural16,Ural,Certified,1,"27,943,157"," 3,445 "," 17,723 "," 8,843,872 "
ural17,Ural,Certified,0.94,"46,215,007"," 3,478 "," 15,064 "," 14,718,001 "
ural18,Ural,Certified,1,"30,139,269"," 3,727 "," 26,235 "," 13,406,081 "
ural19,Ural,Not Certified,1,"22,677,880"," 3,617 "," 18,527 "," 14,636,586 "
ural20,Ural,Not Certified,1,"47,085,061"," 4,284 "," 22,090 "," 14,248,072 "
siberia1,Siberia,Certified,0.78,"44,114,990"," 3,359 "," 16,114 "," 9,104,213 "
siberia2,Siberia,Certified,0.5,"12,909,221"," 1,402 "," 29,422 "," 5,796,119 "
siberia3,Siberia,Certified,0.4,"14,793,147"," 2,236 "," 14,407 "," 3,616,032 "
siberia4,Siberia,Certified,0.88,"52,584,398"," 3,759 "," 16,956 "," 15,497,989 "
siberia5,Siberia,Certified,0.89,"24,634,157"," 6,774 "," 26,176 "," 23,218,500 "
siberia6,Siberia,Certified,0.56,"52,578,386"," 2,274 "," 28,070 "," 18,076,885 "
siberia7,Siberia,Certified,1,"38,155,942"," 3,064 "," 18,604 "," 8,539,433 "
siberia8,Siberia,Certified,0.4,"11,824,615"," 1,781 "," 26,020 "," 10,329,942 "
siberia9,Siberia,Not Certified,1,"7,022,996"," 2,648 "," 13,822 "," 4,464,624 "
siberia10,Siberia,Certified,0.89,"31,738,258"," 3,660 "," 18,682 "," 6,893,623 "
siberia11,Siberia,Certified,1,"25,080,984"," 2,832 "," 12,472 "," 5,325,413 "
siberia12,Siberia,Certified,1,"15,991,731"," 2,190 "," 22,552 "," 6,066,554 "
siberia13,Siberia,Certified,0.8,"36,715,043"," 2,589 "," 25,689 "," 24,841,558 "
siberia14,Siberia,Certified,0.5,"17,199,256"," 2,076 "," 15,271 "," 4,016,316 "
siberia15,Siberia,Certified,1,"25,863,904"," 2,427 "," 16,324 "," 7,231,532 "
fareast1,Far East,Certified,1,"7,734,877", 954 ," 10,425 "," 573,356 "
fareast2,Far East,Certified,0.67,"8,587,268", 671 ," 54,831 "," 6,799,076 "
fareast3,Far East,Certified,0,"4,987,718"," 1,222 "," 26,323 "," 1,553,058 "
fareast4,Far East,Certified,1,"4,733,100"," 1,826 "," 27,981 "," 2,434,348 "
fareast5,Far East,Not Certified,0,"3,118,253", 649 ," 4,676 "," 9,351 "
